"Contact Details","Chi tiết liên hệ"
"Cache Storage Management","Quản lý bộ nhớ đệm"
"Flush Magento Cache","Xóa bộ nhớ đệm Magento"
"The cache storage may contain additional data. Are you sure that you want to flush it?","Bộ nhớ đệm có thể chứa dữ liệu bổ sung. Bạn có chắc chắn muốn quét nó?"
"Flush Cache Storage","Xóa bộ nhớ đệm"
"Invalidated","Không có hiệu lực"
"Orders","Đơn hàng"
"Amounts","Số tiền"
"Bestsellers","Sản phẩm bán chạy nhất"
"Most Viewed Products","Sản phẩm được xem nhiều nhất"
"New Customers","Khách hàng mới"
"Customers","Khách hàng"
"Customer","Khách hàng"
"Guest","Khách"
"Items","Sản phẩm"
"Total","Tổng"
"Lifetime Sales","Khoảng đời doanh số"
"Average Order","Đơn hàng trung bình"
"Average","Trung bình"
"Product","Sản phẩm"
"Price","Giá"
"Quantity","Số lượng"
"Views","Lượng xem"
"Revenue","Doanh thu"
"Tax","Thuế"
"Shipping","Vận chuyển"
"Images (.gif, .jpg, .png)","Hình ảnh (.gif, .jpg, .png)"
"Media (.avi, .flv, .swf)","Phương tiện (.avi, .flv, .swf)"
"All Files","Tất cả các tệp"
"Reset to Default","Thiết lập về mặc định"
"All Store Views","Tất cả lượt xem cửa hàng"
"What is this?","Đây là gì?"
"Save Account","Lưu tài khoản"
"My Account","Tài khoản của tôi"
"Account Information","Thông tin tài khoản"
"User Name","Tên người dùng"
"First Name","Tên"
"Last Name","Họ"
"Email","Email"
"User Email","Email người dùng"
"New Password","Mật khẩu mới"
"Password Confirmation","Xác nhận mật khẩu"
"Interface Locale","Giao diện ngôn ngữ và khu vực"
"Current User Identity Verification","Xác minh danh tính người dùng hiện tại"
"Your Password","Mật khẩu của bạn"
"Save Cache Settings","Lưu thiết lập đệm"
"Catalog Rewrites","Viết lại danh mục "
"Refresh","Tải lại"
"Images Cache","Hình ảnh Cache"
"Clear","Xóa"
"Search Index","Tìm chỉ mục"
"Rebuild","Thiết lập lại"
"Inventory Stock Status","Tình trạng cổ phiếu tồn"
"Rebuild Catalog Index","Thiết lập lại danh mục chỉ mục"
"Rebuild Flat Catalog Category","Thiết lập lại danh mục mặt hàng phẳng"
"Rebuild Flat Catalog Product","Thiết lập lại danh mục sản phẩm phẳng"
"Cache Control","Kiểm soát bộ đệm"
"All Cache","Tất cả bộ đệm"
"No change","Không thay đổi"
"Disable","Vô hiệu hóa"
"Enable","Kích hoạt"
"Add Design Change","Thêm thay đổi thiết kế"
"Back","Trở lại"
"Delete","Xóa bỏ"
"Are you sure?","Bạn chắc chứ?"
"Save","Lưu lại"
"Edit Design Change","Sửa thay đổi thiết kế"
"New Store Design Change","Cửa hàng thay đổi thiết kế mới"
"General Settings","Thiết lập chung"
"Store","Cửa hàng"
"-- Please Select --","-- Vui lòng chọn --"
"Custom Design","Thiết kế tùy chỉnh"
"Date From","Ngày bắt đầu"
"Date To","Ngày kết thúc"
"Design Change","Thay đổi thiết kế"
"General","Chung"
"Cancel","Hủy bỏ"
"Delete %1 '%2'","Xóa %1 '%2'"
"Delete %1","Xóa %1"
"Block Information","Thông tin khối nội dung"
"Backup Options","Tùy chọn sao chép"
"No","Không"
"Yes","Có"
"Create DB Backup","Tạo hệ thống sao lưu DB"
"Delete Store","Xóa cửa hàng"
"Delete Web Site","Xóa trang Web"
"Save Web Site","Lưu trang Web"
"Save Store","Lưu cửa hàng"
"Save Store View","Lưu cửa hàng"
"Delete Store View","Xóa cửa hàng"
"Edit Web Site","Sửa trang Web"
"New Web Site","Trang Web mới"
"Edit Store","Sửa cửa hàng"
"New Store","Cửa hàng mới"
"Edit Store View","Sửa thông tin cửa hàng"
"New Store View","Cửa hàng mới"
"Store Information","Thông tin cửa hàng"
"Web Site","Trang Web"
"Name","Tên"
"Code","Mã"
"Root Category","Mặt hàng gốc"
"Default Store View","Xem cửa hàng mặc định"
"Store View Information","Thông tin cửa hàng"
"Status","Trạng thái"
"Disabled","Vô hiệu hóa"
"Enabled","Cho phép"
"Sort Order","Thứ tự sắp xếp"
"Web Site Information","Thông tin trang Web"
"Default Store","Cửa hàng mặc định"
"Set as Default","Thiết lập về mặc định"
"Stores","Cửa hàng"
"Create Website","Tạo website"
"Create Store","Tạo cửa hàng"
"Create Store View","Tạo thông tin cửa hàng"
"Home","Trang chủ"
"Reset","Thiết lập lại"
"Are you sure you want to do this?","Bạn có chắc rằng bạn muốn làm điều này?"
"label","label"
"Add New Image","Lưu hình ảnh mới"
"Export block for grid %1 is not defined","Xuất khẩu khối cho dạng lưới chưa được xác nhận"
"Reset Filter","Thiết lập lại bộ lọc"
"Search","Tìm kiếm"
"Any","Bất kỳ"
"All Countries","Tất cả quốc gia"
"From","Từ"
"To","Đến"
"Date selector","Chọn ngày"
"[ deleted ]","[ xóa ]"
"Select All","Chọn tất cả"
" [deleted]"," [xóa]"
"We couldn't find any records.","Không có kết quả tìm kiếm."
"Add New","Thêm sản phẩm mới"
"Invalid export type supplied for grid export block","Loại xuất khẩu được cung cấp cho khối xuất khẩu dạng lưới"
"Export","Xuất"
"Please correct the column format and try again.","Vui lòng sửa dạng cột và thử lại."
"An item needs to be selected. Select and try again.","An item needs to be selected. Select and try again."
"Submit","Gửi"
"Unknown block type","Không rõ kiểu khối thông tin"
"Please correct the tab configuration and try again. Tab Id should be not empty","Please correct the tab configuration and try again. Tab Id should be not empty"
"Please correct the tab configuration and try again.","Vui lòng sửa tab thuộc tính và thử lại."
"You have logged out.","Bạn đã thoát tài khoản."
"These cache type(s) don't exist: %1","These cache type(s) don't exist: %1"
"The image cache was cleaned.","Hình ảnh bộ đệm đã bị xóa."
"An error occurred while clearing the image cache.","Xảy ra lỗi khi xóa ảnh bộ đệm."
"The JavaScript/CSS cache has been cleaned.","Bộ đệm JavaScript/CSS đã bị xóa."
"An error occurred while clearing the JavaScript/CSS cache.","Xảy ra lỗi khi xóa bộ đệm JavaScript/CSS."
"The static files cache has been cleaned.","Tệp bộ đệm tĩnh đã bị xóa."
"You flushed the cache storage.","Bạn đã xóa bộ nhớ đệm."
"The Magento cache storage has been flushed.","Bộ nhớ đệm Magento đã bị xóa."
"Cache Management","Quản lý bộ đệm"
"You can't change status of cache type(s) in production mode","Bạn không thể thay đổi trạng thái của bộ nhớ cache trong chế độ sản xuất"
"%1 cache type(s) disabled.","%1 loại bộ đệm đã bị vô hiệu hóa."
"An error occurred while disabling cache.","Xảy ra lỗi khi vô hiệu hóa bộ đệm."
"%1 cache type(s) enabled.","%1 bộ đệm đã được cho phép."
"An error occurred while enabling cache.","Xảy ra lỗi khi cho phép bộ đệm."
"%1 cache type(s) refreshed.","%1 loại bộ đệm đã được tải lại."
"An error occurred while refreshing cache.","Xảy ra lỗi khi tải lại bộ đệm."
"Dashboard","Bảng điều khiển"
"We updated lifetime statistic.","Chúng tôi đã nâng cấp số liệu thời gian."
"We can't refresh lifetime statistics.","Hiện tại không thể refresh được thống kê."
"invalid request","Yêu cầu không đúng"
"see error log for details","Xem log lỗi để biết thêm chi tiết"
"Service unavailable: %1","Dịch vụ không tồn tại: %1"
"Error","Lỗi"
"Access Denied.","Truy cấp bị từ chối."
"You need more permissions to do this.","Bạn không đủ quyền để thao tác."
"No search modules were registered","Không có mô-đun tìm kiếm được đăng ký"
"Please make sure that all global admin search modules are installed and activated.","Vui lòng chắc chắn rằng tất cả quản trị mô-đun tìm kiếm được thiết lập và kích hoạt."
"You saved the account.","Bạn đã lưu tài khoản."
"An error occurred while saving account.","Xảy ra lỗi khi lưu tài khoản."
"You deleted the design change.","Bạn đã xóa thay đổi của thiết kế."
"You can't delete the design change.","You can't delete the design change."
"Store Design","Cửa hàng thiết kế"
"Edit Store Design Change","Chỉnh sửa thay đổi thiết kế của cửa hàng"
"You saved the design change.","Bạn đã lưu thay đổi của thiết kế."
"System","Hệ thống"
"Manage Stores","Quản lý cửa hàng"
"The database was backed up.","Dữ liệu đã được sao lưu."
"We can't create a backup right now. Please try again later.","Hiện tại không thể tạo bản sao lưu ngay bây giờ. Xin vui lòng thử lại sau."
"Deleting a %1 will not delete the information associated with the %1 (e.g. categories, products, etc.), but the %1 will not be able to be restored. It is suggested that you create a database backup before deleting the %1.","Xóa %1 sẽ không xóa được thông tin kết hợp với %1 (ví dụ danh mục, sản phẩm, v.v...), nhưng %1 sẽ không thể được phục hồi. Bạn nên tạo một bản sao trước khi xóa %1."
"Something went wrong. Please try again.","Xảy ra lỗi. Vui lòng thử lại."
"This store cannot be deleted.","Không thể xóa cửa hàng này."
"You deleted the store.","Bạn đã xóa của hàng."
"Unable to delete the store. Please try again later.","Unable to delete the store. Please try again later."
"This store view cannot be deleted.","Không thể xóa cửa hàng."
"Store View","Xem cửa hàng"
"You deleted the store view.","Bạn đã xóa cửa hàng."
"Unable to delete the store view. Please try again later.","Unable to delete the store view. Please try again later."
"This website cannot be deleted.","Không thể xóa trang web này."
"You deleted the website.","Bạn đã xóa trang Web."
"Unable to delete the website. Please try again later.","Unable to delete the website. Please try again later."
"The website does not exist.","Trang web không tồn tại."
